class	MIXS ID	Expected value	Frequency
miuvig	MIXS:0000016	text	0.9166666666666666
agriculture	MIXS:0000016	text or OBI	0.08333333333333333
agriculture	MIXS:0000018	Depth can be reported as an interval for subsurface samples.	0.045454545454545456
food-farm environment	MIXS:0000018	measurement value	0.9545454545454546
host-associated	MIXS:0000018	measurement value	0.9545454545454546
microbial mat/biofilm	MIXS:0000018	measurement value	0.9545454545454546
migs_ba	MIXS:0000018	measurement value	0.9545454545454546
migs_eu	MIXS:0000018	measurement value	0.9545454545454546
migs_org	MIXS:0000018	measurement value	0.9545454545454546
migs_pl	MIXS:0000018	measurement value	0.9545454545454546
migs_vi	MIXS:0000018	measurement value	0.9545454545454546
mimag	MIXS:0000018	measurement value	0.9545454545454546
mimarks_c	MIXS:0000018	measurement value	0.9545454545454546
mimarks_s	MIXS:0000018	measurement value	0.9545454545454546
mims	MIXS:0000018	measurement value	0.9545454545454546
misag	MIXS:0000018	measurement value	0.9545454545454546
miscellaneous natural or artificial environment	MIXS:0000018	measurement value	0.9545454545454546
miuvig	MIXS:0000018	measurement value	0.9545454545454546
plant-associated	MIXS:0000018	measurement value	0.9545454545454546
sediment	MIXS:0000018	measurement value	0.9545454545454546
soil	MIXS:0000018	measurement value	0.9545454545454546
symbiont-associated	MIXS:0000018	measurement value	0.9545454545454546
wastewater/sludge	MIXS:0000018	measurement value	0.9545454545454546
water	MIXS:0000018	measurement value	0.9545454545454546
migs_ba	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
migs_eu	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
migs_org	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
migs_pl	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
migs_vi	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
mimag	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
mimarks_c	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
mimarks_s	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
mims	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
misag	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
miuvig	MIXS:0000020	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	0.9166666666666666
food-food production facility	MIXS:0000020	genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar	0.08333333333333333
agriculture	MIXS:0000027	CV	0.08333333333333333
migs_ba	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
migs_eu	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
migs_org	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
migs_pl	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
migs_vi	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
mimag	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
mimarks_c	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
mimarks_s	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
mims	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
misag	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
miuvig	MIXS:0000027	names of organisms that the entity is pathogenic to	0.9166666666666666
agriculture	MIXS:0000031	disease name or DO	0.05
food-farm environment	MIXS:0000031	disease name or Disease Ontology term	0.95
host-associated	MIXS:0000031	disease name or Disease Ontology term	0.95
human-associated	MIXS:0000031	disease name or Disease Ontology term	0.95
human-gut	MIXS:0000031	disease name or Disease Ontology term	0.95
human-oral	MIXS:0000031	disease name or Disease Ontology term	0.95
human-skin	MIXS:0000031	disease name or Disease Ontology term	0.95
human-vaginal	MIXS:0000031	disease name or Disease Ontology term	0.95
migs_ba	MIXS:0000031	disease name or Disease Ontology term	0.95
migs_eu	MIXS:0000031	disease name or Disease Ontology term	0.95
migs_org	MIXS:0000031	disease name or Disease Ontology term	0.95
migs_pl	MIXS:0000031	disease name or Disease Ontology term	0.95
migs_vi	MIXS:0000031	disease name or Disease Ontology term	0.95
mimag	MIXS:0000031	disease name or Disease Ontology term	0.95
mimarks_c	MIXS:0000031	disease name or Disease Ontology term	0.95
mimarks_s	MIXS:0000031	disease name or Disease Ontology term	0.95
mims	MIXS:0000031	disease name or Disease Ontology term	0.95
misag	MIXS:0000031	disease name or Disease Ontology term	0.95
miuvig	MIXS:0000031	disease name or Disease Ontology term	0.95
plant-associated	MIXS:0000031	disease name or Disease Ontology term	0.95
migs_ba	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
migs_eu	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
migs_org	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
migs_pl	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
migs_vi	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
mimag	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
mimarks_c	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
mimarks_s	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
mims	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
misag	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
miuvig	MIXS:0000038	PMID, DOI or URL	0.9166666666666666
agriculture	MIXS:0000038	reference to amplification method; clean-up method	0.08333333333333333
migs_ba	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
migs_eu	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
migs_org	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
migs_pl	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
migs_vi	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
mimag	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
mimarks_c	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
mimarks_s	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
mims	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
misag	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
miuvig	MIXS:0000046	FWD: forward primer sequence;REV:reverse primer sequence	0.9166666666666666
agriculture	MIXS:0000046	FWD:{dna} REV:{dna}	0.08333333333333333
agriculture	MIXS:0000049	initial denaturation:degrees_minutes; annealing:degrees_minutes; elongation: degrees_minutes; final elongation:degrees_minutes; total cycles	0.08333333333333333
migs_ba	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
migs_eu	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
migs_org	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
migs_pl	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
migs_vi	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
mimag	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
mimarks_c	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
mimarks_s	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
mims	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
misag	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
miuvig	MIXS:0000049	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	0.9166666666666666
agriculture	MIXS:0000052	name and version of software	0.08333333333333333
migs_ba	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
migs_eu	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
migs_org	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
migs_pl	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
migs_vi	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
mimag	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
mimarks_c	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
mimarks_s	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
mims	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
misag	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
miuvig	MIXS:0000052	name and version of software, parameters used	0.9166666666666666
migs_ba	MIXS:0000057	name and version of assembly	0.9166666666666666
migs_eu	MIXS:0000057	name and version of assembly	0.9166666666666666
migs_org	MIXS:0000057	name and version of assembly	0.9166666666666666
migs_pl	MIXS:0000057	name and version of assembly	0.9166666666666666
migs_vi	MIXS:0000057	name and version of assembly	0.9166666666666666
mimag	MIXS:0000057	name and version of assembly	0.9166666666666666
mimarks_c	MIXS:0000057	name and version of assembly	0.9166666666666666
mimarks_s	MIXS:0000057	name and version of assembly	0.9166666666666666
mims	MIXS:0000057	name and version of assembly	0.9166666666666666
misag	MIXS:0000057	name and version of assembly	0.9166666666666666
miuvig	MIXS:0000057	name and version of assembly	0.9166666666666666
agriculture	MIXS:0000057	name and version of assemby	0.08333333333333333
agriculture	MIXS:0000059	annotation source description	0.08333333333333333
migs_ba	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
migs_eu	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
migs_org	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
migs_pl	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
migs_vi	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
mimag	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
mimarks_c	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
mimarks_s	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
mims	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
misag	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
miuvig	MIXS:0000059	name of tool or pipeline used, or annotation source description	0.9166666666666666
agriculture	MIXS:0000091	URL	0.08333333333333333
migs_ba	MIXS:0000091	reference to resource	0.9166666666666666
migs_eu	MIXS:0000091	reference to resource	0.9166666666666666
migs_org	MIXS:0000091	reference to resource	0.9166666666666666
migs_pl	MIXS:0000091	reference to resource	0.9166666666666666
migs_vi	MIXS:0000091	reference to resource	0.9166666666666666
mimag	MIXS:0000091	reference to resource	0.9166666666666666
mimarks_c	MIXS:0000091	reference to resource	0.9166666666666666
mimarks_s	MIXS:0000091	reference to resource	0.9166666666666666
mims	MIXS:0000091	reference to resource	0.9166666666666666
misag	MIXS:0000091	reference to resource	0.9166666666666666
miuvig	MIXS:0000091	reference to resource	0.9166666666666666
air	MIXS:0000092	text	0.6666666666666666
built environment	MIXS:0000092	text	0.6666666666666666
food-animal and animal feed	MIXS:0000092	text	0.6666666666666666
food-farm environment	MIXS:0000092	text	0.6666666666666666
food-food production facility	MIXS:0000092	text	0.6666666666666666
food-human foods	MIXS:0000092	text	0.6666666666666666
host-associated	MIXS:0000092	text	0.6666666666666666
human-associated	MIXS:0000092	text	0.6666666666666666
human-gut	MIXS:0000092	text	0.6666666666666666
human-oral	MIXS:0000092	text	0.6666666666666666
human-skin	MIXS:0000092	text	0.6666666666666666
human-vaginal	MIXS:0000092	text	0.6666666666666666
hydrocarbon resources-cores	MIXS:0000092	text	0.6666666666666666
hydrocarbon resources-fluids/swabs	MIXS:0000092	text	0.6666666666666666
microbial mat/biofilm	MIXS:0000092	text	0.6666666666666666
miscellaneous natural or artificial environment	MIXS:0000092	text	0.6666666666666666
plant-associated	MIXS:0000092	text	0.6666666666666666
sediment	MIXS:0000092	text	0.6666666666666666
soil	MIXS:0000092	text	0.6666666666666666
symbiont-associated	MIXS:0000092	text	0.6666666666666666
wastewater/sludge	MIXS:0000092	text	0.6666666666666666
water	MIXS:0000092	text	0.6666666666666666
migs_ba	MIXS:0000092		0.3333333333333333
migs_eu	MIXS:0000092		0.3333333333333333
migs_org	MIXS:0000092		0.3333333333333333
migs_pl	MIXS:0000092		0.3333333333333333
migs_vi	MIXS:0000092		0.3333333333333333
mimag	MIXS:0000092		0.3333333333333333
mimarks_c	MIXS:0000092		0.3333333333333333
mimarks_s	MIXS:0000092		0.3333333333333333
mims	MIXS:0000092		0.3333333333333333
misag	MIXS:0000092		0.3333333333333333
miuvig	MIXS:0000092		0.3333333333333333
food-animal and animal feed	MIXS:0000103	organism name; measurement value; enumeration	0.18181818181818182
food-farm environment	MIXS:0000103	organism name; measurement value; enumeration	0.18181818181818182
food-food production facility	MIXS:0000103	organism name; measurement value; enumeration	0.18181818181818182
food-human foods	MIXS:0000103	organism name; measurement value; enumeration	0.18181818181818182
symbiont-associated	MIXS:0000103	organism name;measurement value	0.045454545454545456
agriculture	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
air	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
built environment	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
host-associated	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
human-associated	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
human-gut	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
human-oral	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
human-skin	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
human-vaginal	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
hydrocarbon resources-cores	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
hydrocarbon resources-fluids/swabs	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
microbial mat/biofilm	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
miscellaneous natural or artificial environment	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
plant-associated	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
sediment	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
wastewater/sludge	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
water	MIXS:0000103	organism name;measurement value;enumeration	0.7727272727272727
air	MIXS:0000116	duration	0.9523809523809523
food-animal and animal feed	MIXS:0000116	duration	0.9523809523809523
food-farm environment	MIXS:0000116	duration	0.9523809523809523
food-food production facility	MIXS:0000116	duration	0.9523809523809523
food-human foods	MIXS:0000116	duration	0.9523809523809523
host-associated	MIXS:0000116	duration	0.9523809523809523
human-associated	MIXS:0000116	duration	0.9523809523809523
human-gut	MIXS:0000116	duration	0.9523809523809523
human-oral	MIXS:0000116	duration	0.9523809523809523
human-skin	MIXS:0000116	duration	0.9523809523809523
human-vaginal	MIXS:0000116	duration	0.9523809523809523
hydrocarbon resources-cores	MIXS:0000116	duration	0.9523809523809523
hydrocarbon resources-fluids/swabs	MIXS:0000116	duration	0.9523809523809523
microbial mat/biofilm	MIXS:0000116	duration	0.9523809523809523
miscellaneous natural or artificial environment	MIXS:0000116	duration	0.9523809523809523
plant-associated	MIXS:0000116	duration	0.9523809523809523
sediment	MIXS:0000116	duration	0.9523809523809523
symbiont-associated	MIXS:0000116	duration	0.9523809523809523
wastewater/sludge	MIXS:0000116	duration	0.9523809523809523
water	MIXS:0000116	duration	0.9523809523809523
agriculture	MIXS:0000116	time interval	0.047619047619047616
built environment	MIXS:0000226	enumeration or {text}	0.5
food-food production facility	MIXS:0000226	text	0.5
agriculture	MIXS:0000247	free text	0.75
host-associated	MIXS:0000247	free text	0.75
plant-associated	MIXS:0000247	free text	0.75
food-farm environment	MIXS:0000247	text	0.25
agriculture	MIXS:0000248	common name	0.75
host-associated	MIXS:0000248	common name	0.75
plant-associated	MIXS:0000248	common name	0.75
symbiont-associated	MIXS:0000248	common name of the symbiotic organism (host of the samples)	0.25
agriculture	MIXS:0000250	NCBI taxon identifier	0.8
food-farm environment	MIXS:0000250	NCBI taxon identifier	0.8
host-associated	MIXS:0000250	NCBI taxon identifier	0.8
plant-associated	MIXS:0000250	NCBI taxon identifier	0.8
symbiont-associated	MIXS:0000250	NCBI taxon identifier of the symbiotic organism (host of the samples)	0.2
symbiont-associated	MIXS:0000251	life stage of the symbiotic organism (host of the samples)	0.25
agriculture	MIXS:0000251	stage	0.75
host-associated	MIXS:0000251	stage	0.75
plant-associated	MIXS:0000251	stage	0.75
host-associated	MIXS:0000252	substrate name	0.5
symbiont-associated	MIXS:0000252	substrate name of the symbiotic organism (host of the samples)	0.5
symbiont-associated	MIXS:0000255	age of the symbiotic organism (host of the samples); value	0.1
agriculture	MIXS:0000255	measurement value	0.9
food-farm environment	MIXS:0000255	measurement value	0.9
host-associated	MIXS:0000255	measurement value	0.9
human-associated	MIXS:0000255	measurement value	0.9
human-gut	MIXS:0000255	measurement value	0.9
human-oral	MIXS:0000255	measurement value	0.9
human-skin	MIXS:0000255	measurement value	0.9
human-vaginal	MIXS:0000255	measurement value	0.9
plant-associated	MIXS:0000255	measurement value	0.9
symbiont-associated	MIXS:0000256	length of the symbiotic organism (host of the samples); measurement value	0.2
agriculture	MIXS:0000256	measurement value	0.8
food-farm environment	MIXS:0000256	measurement value	0.8
host-associated	MIXS:0000256	measurement value	0.8
plant-associated	MIXS:0000256	measurement value	0.8
symbiont-associated	MIXS:0000257	dry mass of the symbiotic organism (host of the samples); measurement value	0.2
agriculture	MIXS:0000257	measurement value	0.8
food-farm environment	MIXS:0000257	measurement value	0.8
host-associated	MIXS:0000257	measurement value	0.8
plant-associated	MIXS:0000257	measurement value	0.8
host-associated	MIXS:0000260	color	0.5
symbiont-associated	MIXS:0000260	color of the symbiotic organism (host of the samples)	0.5
host-associated	MIXS:0000261	shape	0.5
symbiont-associated	MIXS:0000261	shape of the symbiotic organism (host of the samples)	0.5
symbiont-associated	MIXS:0000263	mass of the symbiotic organism (host of the samples); measurement value	0.1
agriculture	MIXS:0000263	measurement value	0.9
food-farm environment	MIXS:0000263	measurement value	0.9
host-associated	MIXS:0000263	measurement value	0.9
human-associated	MIXS:0000263	measurement value	0.9
human-gut	MIXS:0000263	measurement value	0.9
human-oral	MIXS:0000263	measurement value	0.9
human-skin	MIXS:0000263	measurement value	0.9
human-vaginal	MIXS:0000263	measurement value	0.9
plant-associated	MIXS:0000263	measurement value	0.9
symbiont-associated	MIXS:0000264	height of the symbiotic organism (host of the samples); measurement value	0.1
agriculture	MIXS:0000264	measurement value	0.9
food-farm environment	MIXS:0000264	measurement value	0.9
host-associated	MIXS:0000264	measurement value	0.9
human-associated	MIXS:0000264	measurement value	0.9
human-gut	MIXS:0000264	measurement value	0.9
human-oral	MIXS:0000264	measurement value	0.9
human-skin	MIXS:0000264	measurement value	0.9
human-vaginal	MIXS:0000264	measurement value	0.9
plant-associated	MIXS:0000264	measurement value	0.9
agriculture	MIXS:0000325	pooling status;measurement value	0.2
food-animal and animal feed	MIXS:0000325	pooling status;number of pooled extracts	0.8
food-food production facility	MIXS:0000325	pooling status;number of pooled extracts	0.8
food-human foods	MIXS:0000325	pooling status;number of pooled extracts	0.8
soil	MIXS:0000325	pooling status;number of pooled extracts	0.8
food-farm environment	MIXS:0000332	ENVO_00001998	0.6666666666666666
soil	MIXS:0000332	ENVO_00001998	0.6666666666666666
agriculture	MIXS:0000332	soil type name	0.3333333333333333
agriculture	MIXS:0000365	genotype	0.9
food-farm environment	MIXS:0000365	genotype	0.9
host-associated	MIXS:0000365	genotype	0.9
human-associated	MIXS:0000365	genotype	0.9
human-gut	MIXS:0000365	genotype	0.9
human-oral	MIXS:0000365	genotype	0.9
human-skin	MIXS:0000365	genotype	0.9
human-vaginal	MIXS:0000365	genotype	0.9
plant-associated	MIXS:0000365	genotype	0.9
symbiont-associated	MIXS:0000365	genotype of the symbiotic organism (host of the samples)	0.1
agriculture	MIXS:0000533	measurement value	0.8
microbial mat/biofilm	MIXS:0000533	measurement value	0.8
sediment	MIXS:0000533	measurement value	0.8
soil	MIXS:0000533	measurement value	0.8
food-farm environment	MIXS:0000533	percent TOC	0.2
agriculture	MIXS:0000557	fungicide name;fungicide amount;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000557	fungicide name;fungicide amount;treatment interval and duration	0.5
agriculture	MIXS:0000558	gaseous compound name;gaseous compound amount;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000558	gaseous compound name;gaseous compound amount;treatment interval and duration	0.5
agriculture	MIXS:0000561	herbicide name;herbicide amount;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000561	herbicide name;herbicide amount;treatment interval and duration	0.5
agriculture	MIXS:0000571	non-mineral nutrient name;non-mineral nutrient amount;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000571	non-mineral nutrient name;non-mineral nutrient amount;treatment interval and duration	0.5
agriculture	MIXS:0000573	pesticide name;pesticide amount;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000573	pesticide name;pesticide amount;treatment interval and duration	0.5
agriculture	MIXS:0000582	salt name;salt amount;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000582	salt name;salt amount;treatment interval and duration	0.5
agriculture	MIXS:0000590	measurement value;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000590	measurement value;treatment interval and duration	0.5
agriculture	MIXS:0000591	measurement value;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0000591	measurement value;treatment interval and duration	0.5
food-animal and animal feed	MIXS:0000752	parameter name; measurement value	0.18181818181818182
food-farm environment	MIXS:0000752	parameter name; measurement value	0.18181818181818182
food-food production facility	MIXS:0000752	parameter name; measurement value	0.18181818181818182
food-human foods	MIXS:0000752	parameter name; measurement value	0.18181818181818182
agriculture	MIXS:0000752	parameter name;measurement value	0.8181818181818182
air	MIXS:0000752	parameter name;measurement value	0.8181818181818182
host-associated	MIXS:0000752	parameter name;measurement value	0.8181818181818182
human-associated	MIXS:0000752	parameter name;measurement value	0.8181818181818182
human-gut	MIXS:0000752	parameter name;measurement value	0.8181818181818182
human-oral	MIXS:0000752	parameter name;measurement value	0.8181818181818182
human-skin	MIXS:0000752	parameter name;measurement value	0.8181818181818182
human-vaginal	MIXS:0000752	parameter name;measurement value	0.8181818181818182
hydrocarbon resources-cores	MIXS:0000752	parameter name;measurement value	0.8181818181818182
hydrocarbon resources-fluids/swabs	MIXS:0000752	parameter name;measurement value	0.8181818181818182
microbial mat/biofilm	MIXS:0000752	parameter name;measurement value	0.8181818181818182
miscellaneous natural or artificial environment	MIXS:0000752	parameter name;measurement value	0.8181818181818182
plant-associated	MIXS:0000752	parameter name;measurement value	0.8181818181818182
sediment	MIXS:0000752	parameter name;measurement value	0.8181818181818182
soil	MIXS:0000752	parameter name;measurement value	0.8181818181818182
symbiont-associated	MIXS:0000752	parameter name;measurement value	0.8181818181818182
wastewater/sludge	MIXS:0000752	parameter name;measurement value	0.8181818181818182
water	MIXS:0000752	parameter name;measurement value	0.8181818181818182
air	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
food-animal and animal feed	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
food-farm environment	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
food-human foods	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
host-associated	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
human-associated	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
human-gut	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
