class	key	key_value	target	original_target_value	replacement_target_value
food-animal and animal feed	MIXS ID	MIXS:0000001	Section		nucleic acid sequence source
food-food production facility	MIXS ID	MIXS:0000001	Section		nucleic acid sequence source
food-farm environment	MIXS ID	MIXS:0000001	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000001	Section		nucleic acid sequence source
food-food production facility	MIXS ID	MIXS:0000002	Definition	The device employed for collecting the sample.	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).
food-food production facility	MIXS ID	MIXS:0000002	Expected value	type name	device name
agriculture	MIXS ID	MIXS:0000002	Expected value	type name	device name
agriculture	MIXS ID	MIXS:0000002	Item	sample collection device or method	sample collection device
food-human foods	MIXS ID	MIXS:0000002	Section		nucleic acid sequence source
food-animal and animal feed	MIXS ID	MIXS:0000002	Section		nucleic acid sequence source
food-food production facility	MIXS ID	MIXS:0000002	Section		nucleic acid sequence source
food-farm environment	MIXS ID	MIXS:0000002	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000002	Section		nucleic acid sequence source
food-food production facility	MIXS ID	MIXS:0000002	Value syntax	{text}	{termLabel} [{termID}]|{text}
agriculture	MIXS ID	MIXS:0000002	Value syntax	{text}	{termLabel} [{termID}]|{text}
agriculture	MIXS ID	MIXS:0000003	Section		nucleic acid sequence source
food-human foods	MIXS ID	MIXS:0000008	Section		investigation
food-animal and animal feed	MIXS ID	MIXS:0000008	Section		investigation
food-food production facility	MIXS ID	MIXS:0000008	Section		investigation
symbiont-associated	MIXS ID	MIXS:0000009	Section		environment
food-human foods	MIXS ID	MIXS:0000009	Section		environment
food-animal and animal feed	MIXS ID	MIXS:0000009	Section		environment
food-food production facility	MIXS ID	MIXS:0000009	Section		environment
food-farm environment	MIXS ID	MIXS:0000009	Section		environment
symbiont-associated	MIXS ID	MIXS:0000010	Section		environment
food-human foods	MIXS ID	MIXS:0000010	Section		environment
food-animal and animal feed	MIXS ID	MIXS:0000010	Section		environment
food-food production facility	MIXS ID	MIXS:0000010	Section		environment
food-farm environment	MIXS ID	MIXS:0000010	Section		environment
symbiont-associated	MIXS ID	MIXS:0000011	Section		environment
food-human foods	MIXS ID	MIXS:0000011	Section		environment
food-animal and animal feed	MIXS ID	MIXS:0000011	Section		environment
food-food production facility	MIXS ID	MIXS:0000011	Section		environment
food-farm environment	MIXS ID	MIXS:0000011	Section		environment
agriculture	MIXS ID	MIXS:0000016	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000018	Occurrence		1
host-associated	MIXS ID	MIXS:0000018	Section		environment
microbial mat/biofilm	MIXS ID	MIXS:0000018	Section		environment
miscellaneous natural or artificial environment	MIXS ID	MIXS:0000018	Section		environment
plant-associated	MIXS ID	MIXS:0000018	Section		environment
sediment	MIXS ID	MIXS:0000018	Section		environment
soil	MIXS ID	MIXS:0000018	Section		environment
wastewater/sludge	MIXS ID	MIXS:0000018	Section		environment
water	MIXS ID	MIXS:0000018	Section		environment
symbiont-associated	MIXS ID	MIXS:0000018	Section		environment
food-farm environment	MIXS ID	MIXS:0000018	Section		environment
agriculture	MIXS ID	MIXS:0000018	Section		environment
agriculture	MIXS ID	MIXS:0000018	Structured comment name	soil_depth	depth
food-food production facility	MIXS ID	MIXS:0000020	Section		nucleic acid sequence source
symbiont-associated	MIXS ID	MIXS:0000026	Occurrence		m
symbiont-associated	MIXS ID	MIXS:0000026	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000026	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000027	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000028	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000029	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000030	Section		nucleic acid sequence source
host-associated	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
human-associated	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
human-gut	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
human-oral	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
human-skin	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
human-vaginal	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
plant-associated	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
food-farm environment	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000031	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000032	Section		nucleic acid sequence source
food-human foods	MIXS ID	MIXS:0000037	Section		sequencing
food-animal and animal feed	MIXS ID	MIXS:0000037	Section		sequencing
food-food production facility	MIXS ID	MIXS:0000037	Section		sequencing
food-farm environment	MIXS ID	MIXS:0000037	Section		sequencing
agriculture	MIXS ID	MIXS:0000037	Section		sequencing
agriculture	MIXS ID	MIXS:0000038	Section		sequencing
agriculture	MIXS ID	MIXS:0000039	Section		sequencing
agriculture	MIXS ID	MIXS:0000040	Section		sequencing
agriculture	MIXS ID	MIXS:0000041	Section		sequencing
agriculture	MIXS ID	MIXS:0000042	Section		sequencing
agriculture	MIXS ID	MIXS:0000043	Section		sequencing
agriculture	MIXS ID	MIXS:0000044	Section		sequencing
agriculture	MIXS ID	MIXS:0000045	Section		sequencing
agriculture	MIXS ID	MIXS:0000046	Occurrence		1
agriculture	MIXS ID	MIXS:0000046	Section		sequencing
agriculture	MIXS ID	MIXS:0000047	Section		sequencing
agriculture	MIXS ID	MIXS:0000048	Section		sequencing
agriculture	MIXS ID	MIXS:0000049	Section		sequencing
agriculture	MIXS ID	MIXS:0000050	Occurrence		1
food-human foods	MIXS ID	MIXS:0000050	Section		sequencing
food-animal and animal feed	MIXS ID	MIXS:0000050	Section		sequencing
food-food production facility	MIXS ID	MIXS:0000050	Section		sequencing
food-farm environment	MIXS ID	MIXS:0000050	Section		sequencing
agriculture	MIXS ID	MIXS:0000050	Section		sequencing
agriculture	MIXS ID	MIXS:0000051	Section		sequencing
agriculture	MIXS ID	MIXS:0000052	Section		sequencing
agriculture	MIXS ID	MIXS:0000056	Item	assembly software	assembly quality
agriculture	MIXS ID	MIXS:0000056	Occurrence		1
agriculture	MIXS ID	MIXS:0000056	Section		sequencing
agriculture	MIXS ID	MIXS:0000056	Structured comment name	assembly_software	assembly_qual
agriculture	MIXS ID	MIXS:0000057	Section		sequencing
agriculture	MIXS ID	MIXS:0000058	Item	assembly quality	assembly software
agriculture	MIXS ID	MIXS:0000058	Occurrence		1
agriculture	MIXS ID	MIXS:0000058	Section		sequencing
agriculture	MIXS ID	MIXS:0000058	Structured comment name	assembly_qual	assembly_software
agriculture	MIXS ID	MIXS:0000059	Section		sequencing
agriculture	MIXS ID	MIXS:0000090	Section		sequencing
agriculture	MIXS ID	MIXS:0000091	Section		sequencing
air	MIXS ID	MIXS:0000092	Section		investigation
built environment	MIXS ID	MIXS:0000092	Section		investigation
host-associated	MIXS ID	MIXS:0000092	Section		investigation
human-associated	MIXS ID	MIXS:0000092	Section		investigation
human-gut	MIXS ID	MIXS:0000092	Section		investigation
human-oral	MIXS ID	MIXS:0000092	Section		investigation
human-skin	MIXS ID	MIXS:0000092	Section		investigation
human-vaginal	MIXS ID	MIXS:0000092	Section		investigation
hydrocarbon resources-cores	MIXS ID	MIXS:0000092	Section		investigation
hydrocarbon resources-fluids/swabs	MIXS ID	MIXS:0000092	Section		investigation
microbial mat/biofilm	MIXS ID	MIXS:0000092	Section		investigation
miscellaneous natural or artificial environment	MIXS ID	MIXS:0000092	Section		investigation
plant-associated	MIXS ID	MIXS:0000092	Section		investigation
sediment	MIXS ID	MIXS:0000092	Section		investigation
soil	MIXS ID	MIXS:0000092	Section		investigation
wastewater/sludge	MIXS ID	MIXS:0000092	Section		investigation
water	MIXS ID	MIXS:0000092	Section		investigation
symbiont-associated	MIXS ID	MIXS:0000092	Section		investigation
food-human foods	MIXS ID	MIXS:0000092	Section		investigation
food-animal and animal feed	MIXS ID	MIXS:0000092	Section		investigation
food-food production facility	MIXS ID	MIXS:0000092	Section		investigation
food-farm environment	MIXS ID	MIXS:0000092	Section		investigation
symbiont-associated	MIXS ID	MIXS:0000093	Occurrence		1
agriculture	MIXS ID	MIXS:0000093	Occurrence		1
migs_eu	MIXS ID	MIXS:0000093	Preferred unit		meter
migs_ba	MIXS ID	MIXS:0000093	Preferred unit		meter
migs_pl	MIXS ID	MIXS:0000093	Preferred unit		meter
migs_vi	MIXS ID	MIXS:0000093	Preferred unit		meter
migs_org	MIXS ID	MIXS:0000093	Preferred unit		meter
mims	MIXS ID	MIXS:0000093	Preferred unit		meter
mimarks_s	MIXS ID	MIXS:0000093	Preferred unit		meter
mimarks_c	MIXS ID	MIXS:0000093	Preferred unit		meter
misag	MIXS ID	MIXS:0000093	Preferred unit		meter
mimag	MIXS ID	MIXS:0000093	Preferred unit		meter
miuvig	MIXS ID	MIXS:0000093	Preferred unit		meter
agriculture	MIXS ID	MIXS:0000093	Preferred unit		meter
air	MIXS ID	MIXS:0000093	Section		environment
host-associated	MIXS ID	MIXS:0000093	Section		environment
hydrocarbon resources-cores	MIXS ID	MIXS:0000093	Section		environment
microbial mat/biofilm	MIXS ID	MIXS:0000093	Section		environment
miscellaneous natural or artificial environment	MIXS ID	MIXS:0000093	Section		environment
plant-associated	MIXS ID	MIXS:0000093	Section		environment
sediment	MIXS ID	MIXS:0000093	Section		environment
soil	MIXS ID	MIXS:0000093	Section		environment
water	MIXS ID	MIXS:0000093	Section		environment
symbiont-associated	MIXS ID	MIXS:0000093	Section		environment
agriculture	MIXS ID	MIXS:0000093	Section		environment
migs_eu	MIXS ID	MIXS:0000094	Preferred unit		meter
migs_ba	MIXS ID	MIXS:0000094	Preferred unit		meter
migs_pl	MIXS ID	MIXS:0000094	Preferred unit		meter
migs_vi	MIXS ID	MIXS:0000094	Preferred unit		meter
migs_org	MIXS ID	MIXS:0000094	Preferred unit		meter
mims	MIXS ID	MIXS:0000094	Preferred unit		meter
mimarks_s	MIXS ID	MIXS:0000094	Preferred unit		meter
mimarks_c	MIXS ID	MIXS:0000094	Preferred unit		meter
misag	MIXS ID	MIXS:0000094	Preferred unit		meter
mimag	MIXS ID	MIXS:0000094	Preferred unit		meter
miuvig	MIXS ID	MIXS:0000094	Preferred unit		meter
air	MIXS ID	MIXS:0000094	Section		environment
host-associated	MIXS ID	MIXS:0000094	Section		environment
miscellaneous natural or artificial environment	MIXS ID	MIXS:0000094	Section		environment
symbiont-associated	MIXS ID	MIXS:0000094	Section		environment
air	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
host-associated	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
human-associated	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
human-gut	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
human-oral	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
human-skin	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
human-vaginal	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
hydrocarbon resources-cores	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
hydrocarbon resources-fluids/swabs	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
microbial mat/biofilm	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
miscellaneous natural or artificial environment	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
plant-associated	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
sediment	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
soil	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
wastewater/sludge	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
water	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
symbiont-associated	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
food-human foods	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
food-animal and animal feed	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
food-food production facility	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
food-farm environment	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0000111	Section		nucleic acid sequence source
air	MIXS ID	MIXS:0000113	Section		environment
host-associated	MIXS ID	MIXS:0000113	Section		environment
human-associated	MIXS ID	MIXS:0000113	Section		environment
human-gut	MIXS ID	MIXS:0000113	Section		environment
human-oral	MIXS ID	MIXS:0000113	Section		environment
human-skin	MIXS ID	MIXS:0000113	Section		environment
human-vaginal	MIXS ID	MIXS:0000113	Section		environment
hydrocarbon resources-cores	MIXS ID	MIXS:0000113	Section		environment
hydrocarbon resources-fluids/swabs	MIXS ID	MIXS:0000113	Section		environment
microbial mat/biofilm	MIXS ID	MIXS:0000113	Section		environment
miscellaneous natural or artificial environment	MIXS ID	MIXS:0000113	Section		environment
plant-associated	MIXS ID	MIXS:0000113	Section		environment
sediment	MIXS ID	MIXS:0000113	Section		environment
soil	MIXS ID	MIXS:0000113	Section		environment
wastewater/sludge	MIXS ID	MIXS:0000113	Section		environment
water	MIXS ID	MIXS:0000113	Section		environment
symbiont-associated	MIXS ID	MIXS:0000113	Section		environment
food-human foods	MIXS ID	MIXS:0000113	Section		environment
food-animal and animal feed	MIXS ID	MIXS:0000113	Section		environment
food-farm environment	MIXS ID	MIXS:0000113	Section		environment
agriculture	MIXS ID	MIXS:0000113	Section		environment
plant-associated	MIXS ID	MIXS:0000248	Preferred unit	 	
soil	MIXS ID	MIXS:0000325	Preferred unit		gram, milliliter, microliter
food-human foods	MIXS ID	MIXS:0000325	Preferred unit		gram, milliliter, microliter
food-animal and animal feed	MIXS ID	MIXS:0000325	Preferred unit		gram, milliliter, microliter
food-food production facility	MIXS ID	MIXS:0000325	Preferred unit		gram, milliliter, microliter
soil	MIXS ID	MIXS:0000335	Structured comment name	soil_text_measure	
agriculture	MIXS ID	MIXS:0000335	Structured comment name	texture	
agriculture	MIXS ID	MIXS:0000336	Structured comment name	texture_meth	soil_texture_meth
agriculture	MIXS ID	MIXS:0000338	Structured comment name	tot_n_meth	tot_nitro_cont_meth
symbiont-associated	MIXS ID	MIXS:0000365	Occurrence		1
food-farm environment	MIXS ID	MIXS:0000530	Definition	Total nitrogen content of the sample.	Total nitrogen content of the sample
agriculture	MIXS ID	MIXS:0000530	Item	total nitrogen	total nitrogen content
agriculture	MIXS ID	MIXS:0000530	Structured comment name	tot_nitro	tot_nitro_content
air	MIXS ID	MIXS:0000757	Preferred unit		degrees or cardinal direction
symbiont-associated	MIXS ID	MIXS:0000874	Occurrence		1
symbiont-associated	MIXS ID	MIXS:0001107	Definition	Sample Name is a name that you choose for the sample. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. Every Sample Name from a single Submitter must be unique.	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.
food-human foods	MIXS ID	MIXS:0001107	Preferred unit	 	
food-animal and animal feed	MIXS ID	MIXS:0001107	Preferred unit	 	
food-food production facility	MIXS ID	MIXS:0001107	Preferred unit	 	
food-farm environment	MIXS ID	MIXS:0001107	Preferred unit	 	
air	MIXS ID	MIXS:0001107	Section		investigation
built environment	MIXS ID	MIXS:0001107	Section		investigation
host-associated	MIXS ID	MIXS:0001107	Section		investigation
human-associated	MIXS ID	MIXS:0001107	Section		investigation
human-gut	MIXS ID	MIXS:0001107	Section		investigation
human-oral	MIXS ID	MIXS:0001107	Section		investigation
human-skin	MIXS ID	MIXS:0001107	Section		investigation
human-vaginal	MIXS ID	MIXS:0001107	Section		investigation
hydrocarbon resources-cores	MIXS ID	MIXS:0001107	Section		investigation
hydrocarbon resources-fluids/swabs	MIXS ID	MIXS:0001107	Section		investigation
microbial mat/biofilm	MIXS ID	MIXS:0001107	Section		investigation
miscellaneous natural or artificial environment	MIXS ID	MIXS:0001107	Section		investigation
plant-associated	MIXS ID	MIXS:0001107	Section		investigation
sediment	MIXS ID	MIXS:0001107	Section		investigation
soil	MIXS ID	MIXS:0001107	Section		investigation
wastewater/sludge	MIXS ID	MIXS:0001107	Section		investigation
water	MIXS ID	MIXS:0001107	Section		investigation
symbiont-associated	MIXS ID	MIXS:0001107	Section		investigation
food-human foods	MIXS ID	MIXS:0001107	Section		investigation
food-animal and animal feed	MIXS ID	MIXS:0001107	Section		investigation
food-food production facility	MIXS ID	MIXS:0001107	Section		investigation
food-farm environment	MIXS ID	MIXS:0001107	Section		investigation
agriculture	MIXS ID	MIXS:0001123	Occurrence		m
agriculture	MIXS ID	MIXS:0001124	Occurrence		m
agriculture	MIXS ID	MIXS:0001124	Preferred unit		parts per million
agriculture	MIXS ID	MIXS:0001126	Occurrence		m
agriculture	MIXS ID	MIXS:0001133	Occurrence		m
food-human foods	MIXS ID	MIXS:0001138	Item	Food shipping transportation vehicle	food shipping transportation vehicle
food-farm environment	MIXS ID	MIXS:0001138	Item	Food shipping transportation vehicle	food shipping transportation vehicle
agriculture	MIXS ID	MIXS:0001139	Item	Food source	food source
agriculture	MIXS ID	MIXS:0001139	Occurrence		1
agriculture	MIXS ID	MIXS:0001139	Structured comment name	Food_source	food_source
agriculture	MIXS ID	MIXS:0001153	Occurrence		m
agriculture	MIXS ID	MIXS:0001158	Occurrence		1
agriculture	MIXS ID	MIXS:0001158	Preferred unit		milliSiemens per centimeter
agriculture	MIXS ID	MIXS:0001159	Occurrence		1
agriculture	MIXS ID	MIXS:0001160	Occurrence		1
agriculture	MIXS ID	MIXS:0001161	Occurrence		1
agriculture	MIXS ID	MIXS:0001175	Occurrence		1
agriculture	MIXS ID	MIXS:0001181	Occurrence		1
agriculture	MIXS ID	MIXS:0001184	Structured comment name	Food_Product_type	food_product_type
food-animal and animal feed	MIXS ID	MIXS:0001204	Occurrence		m
food-human foods	MIXS ID	MIXS:0001225	Section		nucleic acid sequence source
food-animal and animal feed	MIXS ID	MIXS:0001225	Section		nucleic acid sequence source
food-food production facility	MIXS ID	MIXS:0001225	Section		nucleic acid sequence source
agriculture	MIXS ID	MIXS:0001225	Section		nucleic acid sequence source
symbiont-associated	MIXS ID	MIXS:0001309	Occurrence		1
migs_eu	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
migs_ba	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
migs_pl	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
migs_vi	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
migs_org	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
mims	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
mimarks_s	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
mimarks_c	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
misag	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
mimag	Structured comment name	alt	Definition	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. Used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
