class	MIXS ID	Item	Frequency
misag	MIXS:0001107	sample name 	0.9696969696969697
miscellaneous natural or artificial environment	MIXS:0001107	sample name 	0.9696969696969697
miuvig	MIXS:0001107	sample name 	0.9696969696969697
plant-associated	MIXS:0001107	sample name 	0.9696969696969697
sediment	MIXS:0001107	sample name 	0.9696969696969697
soil	MIXS:0001107	sample name 	0.9696969696969697
wastewater/sludge	MIXS:0001107	sample name 	0.9696969696969697
water	MIXS:0001107	sample name 	0.9696969696969697
food-farm environment	MIXS:0001138	Food shipping transportation vehicle	0.4
food-human foods	MIXS:0001138	Food shipping transportation vehicle	0.4
agriculture	MIXS:0001138	food shipping transportation vehicle	0.6
food-animal and animal feed	MIXS:0001138	food shipping transportation vehicle	0.6
food-food production facility	MIXS:0001138	food shipping transportation vehicle	0.6
agriculture	MIXS:0001139	Food source	0.2
food-animal and animal feed	MIXS:0001139	food source	0.8
food-farm environment	MIXS:0001139	food source	0.8
food-food production facility	MIXS:0001139	food source	0.8
food-human foods	MIXS:0001139	food source	0.8
food-animal and animal feed	MIXS:0001147	lot number	0.8
food-farm environment	MIXS:0001147	lot number	0.8
food-food production facility	MIXS:0001147	lot number	0.8
food-human foods	MIXS:0001147	lot number	0.8
agriculture	MIXS:0001147	lot_number	0.2
agriculture	MIXS:0001184	Foodon product type	0.2
food-animal and animal feed	MIXS:0001184	food product type	0.8
food-farm environment	MIXS:0001184	food product type	0.8
food-food production facility	MIXS:0001184	food product type	0.8
food-human foods	MIXS:0001184	food product type	0.8
